iter	MultiClass
0	1.090431933
1	1.082963577
2	1.07824952
3	1.071488843
4	1.064324968
5	1.058173752
6	1.052546532
7	1.046742488
8	1.039553108
9	1.034290945
10	1.029527238
11	1.023103434
12	1.018941138
13	1.01365124
14	1.010092568
15	1.006744545
16	1.002377114
17	0.9962493847
18	0.9919606184
19	0.9884900594
20	0.9839526877
21	0.979169468
22	0.9762921689
23	0.9736296675
24	0.9708461462
25	0.9662977003
26	0.9631661081
27	0.9601721137
28	0.9563296243
29	0.9532307809
30	0.9499830428
31	0.9462252772
32	0.9434120662
33	0.939593569
34	0.9365895495
35	0.9341259134
36	0.932388938
37	0.9294447851
38	0.9275912949
39	0.9253018111
40	0.9239769774
41	0.9208009658
42	0.917096987
43	0.9152991919
44	0.9134935672
45	0.9102470003
46	0.9057014664
47	0.9028442477
48	0.8999060225
49	0.896163539
50	0.8926362555
51	0.890356183
52	0.8880182507
53	0.8859614127
54	0.8826203858
55	0.8808600806
56	0.8787208761
57	0.876591089
58	0.8739274073
59	0.8714856359
60	0.8692469885
61	0.867150141
62	0.8648966211
63	0.862037406
64	0.8596549073
65	0.8564698762
66	0.8544718906
67	0.8521876403
68	0.8502024741
69	0.8476150834
70	0.8442941325
71	0.8429040743
72	0.8408192581
73	0.8394909856
74	0.8377497527
75	0.8344893985
76	0.8328666723
77	0.8303881659
78	0.828871742
79	0.8272458125
80	0.825645738
81	0.8231811793
82	0.8220571712
83	0.8205850804
84	0.819515833
85	0.8180690765
86	0.816511385
87	0.8145981367
88	0.8129711286
89	0.810771384
90	0.809142916
91	0.8081935289
92	0.806766307
93	0.8052852095
94	0.8044174472
95	0.8023429567
96	0.8000249793
97	0.79781622
98	0.7967617895
99	0.795322187
100	0.7930005215
101	0.7909952977
102	0.7883680682
103	0.7859669543
104	0.7827079661
105	0.7811795548
106	0.7789596689
107	0.7773166286
108	0.7758126408
109	0.7740631774
110	0.773046255
111	0.7719278498
112	0.7703476294
113	0.7682551091
114	0.7658614189
115	0.7646062314
116	0.7632591486
117	0.7612188148
118	0.7604271625
119	0.7588631829
120	0.7575571675
121	0.7559701277
122	0.7549429855
123	0.7526864325
124	0.7513450633
125	0.7498412841
126	0.7481313806
127	0.747446019
128	0.7458020981
129	0.7443917689
130	0.7424772141
131	0.7410672979
132	0.7388902068
133	0.7370353769
134	0.7358472849
135	0.7340815972
136	0.7321240248
137	0.730596593
138	0.7290732889
139	0.7271040069
140	0.7254629912
141	0.7241063637
142	0.7227837814
143	0.7218170952
144	0.7202220504
145	0.7190633502
146	0.7179803843
147	0.7167648254
148	0.7146955824
149	0.7134485544
150	0.7107560897
151	0.7094418899
152	0.7072794734
153	0.7058298177
154	0.7044153289
155	0.703300384
156	0.7020380462
157	0.7008931631
158	0.6998677018
159	0.6983472749
160	0.6975630959
161	0.6964626338
162	0.6951145228
163	0.6935092348
164	0.6915609002
165	0.6905310078
166	0.6873027444
167	0.6860850292
168	0.6846279564
169	0.6823437111
170	0.6803942827
171	0.6797553157
172	0.6785125152
173	0.6765033563
174	0.6756446724
175	0.6739785814
176	0.6732119514
177	0.6719230972
178	0.6697904406
179	0.6685802608
180	0.6675355385
181	0.6661909556
182	0.6652706422
183	0.6632179704
184	0.6618648482
185	0.6598272619
186	0.6586979993
187	0.6574699704
188	0.6557659806
189	0.6549394881
190	0.653357277
191	0.6516082752
192	0.6503385795
193	0.6487147132
194	0.64707049
195	0.6457860639
196	0.6449442959
197	0.6435450214
198	0.6416320733
199	0.6408886529
200	0.6394731121
201	0.6379456758
202	0.6365615068
203	0.6343933699
204	0.6322867417
205	0.6317168597
206	0.6306609215
207	0.6289949709
208	0.6270246132
209	0.6256448101
210	0.6246576361
211	0.6238061503
212	0.622841295
213	0.6220786153
214	0.6212495227
215	0.6192974682
216	0.6180266842
217	0.6172184873
218	0.615970397
219	0.6151915484
220	0.6132390473
221	0.6122920887
222	0.6099386578
223	0.6079915426
224	0.6068885372
225	0.6058460435
226	0.6038182989
227	0.6028777704
228	0.6016503767
229	0.6005893281
230	0.5989278796
231	0.5974631368
232	0.5960701699
233	0.5939444201
234	0.5931085307
235	0.5923631218
236	0.5914723998
237	0.5903342811
238	0.5889817088
239	0.5873587972
240	0.5869016533
241	0.58614706
242	0.5850936971
243	0.5838479341
244	0.5828374624
245	0.5819774803
246	0.5811789348
247	0.5800829462
248	0.5793797597
249	0.5781729274
250	0.5768660313
251	0.5759384874
252	0.5749504061
253	0.5731232117
254	0.5725365596
255	0.5715738041
256	0.570454947
257	0.5692636356
258	0.5680853834
259	0.5675836408
260	0.566545351
261	0.5650652043
262	0.5637821469
263	0.5626275252
264	0.5618224007
265	0.5603414632
266	0.5595046591
267	0.5583086587
268	0.556819671
269	0.5551863308
270	0.5541233621
271	0.5529845695
272	0.5518455544
273	0.5505978004
274	0.549894438
275	0.5484315036
276	0.5475713351
277	0.5468471457
278	0.5455722958
279	0.544945275
280	0.5435976533
281	0.5425040997
282	0.5415676256
283	0.5404209779
284	0.539637139
285	0.538913709
286	0.5383308116
287	0.537148483
288	0.5363372437
289	0.5351047415
290	0.5345258716
291	0.5332321887
292	0.53243052
293	0.5316111452
294	0.5309587902
295	0.529848909
296	0.5291506894
297	0.5279875144
298	0.5261057315
299	0.5249933274
300	0.5240974184
301	0.5233892406
302	0.5224695893
303	0.5206469845
304	0.5201658188
305	0.5190099448
306	0.5181765907
307	0.5176966243
308	0.5169949609
309	0.5163450925
310	0.51515919
311	0.5145592137
312	0.5140269679
313	0.5130852035
314	0.5122221291
315	0.5116048825
316	0.5102050584
317	0.5088754092
318	0.508276977
319	0.507378771
320	0.5062803188
321	0.5047432692
322	0.5034448417
323	0.5022759851
324	0.5009308998
325	0.500185753
326	0.4989449221
327	0.4974934236
328	0.4966589188
329	0.4958433983
330	0.4952862512
331	0.4945843291
332	0.4935698051
333	0.4930849041
334	0.4922104895
335	0.4917721295
336	0.4906265223
337	0.4901887115
338	0.4895163712
339	0.4887596939
340	0.4882079401
341	0.4873637004
342	0.4866990217
343	0.4863134135
344	0.4851924855
345	0.4837659319
346	0.4830823555
347	0.4826272404
348	0.4817259392
349	0.4804357358
350	0.4800284897
351	0.4790792322
352	0.4785070199
353	0.4778485107
354	0.4771224483
355	0.4762884771
356	0.4756182664
357	0.4751641257
358	0.4741673778
359	0.4736662108
360	0.4727498762
361	0.4721507141
362	0.470895835
363	0.4700214862
364	0.4691832227
365	0.4685831423
366	0.4676564802
367	0.4669612459
368	0.4664587936
369	0.4656550655
370	0.4647220561
371	0.4637819466
372	0.4629152457
373	0.4622436935
374	0.4617889643
375	0.4610323691
376	0.4603711056
377	0.4598537148
378	0.4588019688
379	0.4581750853
380	0.4571511154
381	0.4561900172
382	0.4552424919
383	0.4545433812
384	0.4535454272
385	0.4520982756
386	0.4507961254
387	0.4503037097
388	0.4494623496
389	0.4489694872
390	0.4480385782
391	0.4474329813
392	0.4471085817
393	0.4463397415
394	0.4453991996
395	0.4446374485
396	0.4441717132
397	0.4430061427
398	0.4423024817
399	0.4419451972
400	0.4409827812
401	0.4401828653
402	0.4397218383
403	0.4391470242
404	0.438421325
405	0.4378926199
406	0.4373047762
407	0.4365830617
408	0.4358448463
409	0.4352539797
410	0.4346866087
411	0.4336493512
412	0.4330904163
413	0.4326722952
414	0.4322486976
415	0.4315869507
416	0.4306696207
417	0.4300276945
418	0.4295995336
419	0.4291769846
420	0.4286022525
421	0.4280406952
422	0.4276545087
423	0.4269149572
424	0.4263978526
425	0.425380227
426	0.4246974344
427	0.4239154233
428	0.4236871569
429	0.4229098477
430	0.4222324246
431	0.4219389112
432	0.4216143953
433	0.4212605886
434	0.4205512088
435	0.4200828125
436	0.4192488066
437	0.4185456303
438	0.4182229428
439	0.4180647485
440	0.4174172575
441	0.4164655879
442	0.4157027163
443	0.4155108935
444	0.4149754294
445	0.4143447597
446	0.4133310341
447	0.4127390726
448	0.4121010547
449	0.411755184
450	0.410902561
451	0.4099224679
452	0.4096935241
453	0.408793344
454	0.4081187658
455	0.4072161067
456	0.4063267108
457	0.4056501651
458	0.4050419786
459	0.4045028718
460	0.4038912868
461	0.4033321777
462	0.4026156277
463	0.4021505605
464	0.401645755
465	0.4010783597
466	0.4004280979
467	0.3998692269
468	0.3987444744
469	0.3983580381
470	0.3979614992
471	0.3969377933
472	0.3966482924
473	0.396096125
474	0.3954926792
475	0.3950942095
476	0.3945540046
477	0.3939384593
478	0.3932002838
479	0.3926415497
480	0.3922161701
481	0.391645675
482	0.391339479
483	0.390586081
484	0.3899946347
485	0.3892737384
486	0.3887479616
487	0.3881664251
488	0.3878567229
489	0.3869375841
490	0.3863957804
491	0.3858150202
492	0.3851818898
493	0.3846233576
494	0.3839123015
495	0.3832304051
496	0.3826876901
497	0.3821232469
498	0.3814384265
499	0.3804654565
