iter	Passed	Remaining
0	7	3896
1	13	3269
2	19	3188
3	25	3165
4	31	3071
5	37	3073
6	43	3061
7	49	3019
8	56	3060
9	62	3049
10	67	3015
11	74	3020
12	80	3001
13	86	3003
14	92	2978
15	97	2954
16	104	2962
17	110	2953
18	116	2948
19	122	2932
20	127	2910
21	134	2918
22	140	2906
23	146	2904
24	154	2928
25	159	2906
26	165	2903
27	174	2940
28	181	2951
29	188	2945
30	193	2932
31	200	2933
32	205	2914
33	211	2898
34	216	2880
35	222	2862
36	228	2855
37	233	2842
38	239	2825
39	244	2810
40	249	2793
41	254	2779
42	259	2762
43	266	2758
44	271	2748
45	277	2738
46	284	2742
47	289	2728
48	296	2731
49	302	2721
50	307	2710
51	314	2707
52	319	2696
53	325	2686
54	331	2683
55	337	2676
56	348	2705
57	353	2695
58	359	2690
59	366	2685
60	372	2678
61	379	2681
62	384	2668
63	390	2659
64	396	2653
65	401	2642
66	407	2636
67	413	2627
68	418	2616
69	425	2611
70	431	2604
71	436	2595
72	444	2597
73	449	2587
74	455	2583
75	462	2579
76	467	2569
77	474	2569
78	480	2559
79	486	2553
80	492	2546
81	498	2539
82	594	2988
83	600	2973
84	607	2965
85	613	2951
86	618	2935
87	626	2931
88	632	2918
89	638	2909
90	644	2897
91	650	2883
92	655	2870
93	661	2857
94	681	2906
95	689	2900
96	695	2890
97	702	2882
98	709	2872
99	714	2857
100	722	2855
101	728	2842
102	734	2832
103	740	2820
104	746	2807
105	753	2799
106	758	2785
107	764	2776
108	771	2766
109	776	2753
110	783	2745
111	789	2734
112	794	2721
113	801	2713
114	807	2702
115	812	2690
116	818	2680
117	824	2669
118	830	2660
119	837	2653
120	843	2643
121	850	2636
122	856	2626
123	862	2616
124	868	2606
125	874	2596
126	882	2593
127	888	2583
128	898	2583
129	904	2574
130	912	2571
131	919	2563
132	925	2553
133	932	2545
134	938	2537
135	945	2529
136	951	2519
137	956	2509
138	963	2501
139	969	2492
140	977	2489
141	983	2480
142	991	2475
143	998	2467
144	1003	2457
145	1013	2456
146	1018	2446
147	1026	2442
148	1033	2433
149	1039	2424
150	1046	2419
151	1052	2408
152	1059	2402
153	1065	2393
154	1071	2384
155	1079	2379
156	1084	2370
157	1092	2365
158	1098	2355
159	1104	2346
160	1110	2337
161	1115	2327
162	1122	2320
163	1128	2311
164	1133	2300
165	1141	2297
166	1147	2288
167	1155	2283
168	1161	2275
169	1169	2269
170	1175	2262
171	1181	2252
172	1188	2246
173	1194	2237
174	1199	2227
175	1206	2221
176	1212	2212
177	1219	2205
178	1225	2197
179	1231	2188
180	1237	2181
181	1243	2172
182	1249	2163
183	1254	2154
184	1259	2145
185	1265	2136
186	1270	2126
187	1276	2117
188	1281	2108
189	1286	2098
190	1291	2089
191	1296	2079
192	1301	2070
193	1307	2062
194	1312	2052
195	1319	2046
196	1324	2037
197	1330	2029
198	1336	2022
199	1342	2013
200	1349	2008
201	1357	2002
202	1364	1996
203	1371	1989
204	1377	1982
205	1384	1976
206	1390	1968
207	1400	1965
208	1406	1958
209	1416	1956
210	1422	1948
211	1430	1943
212	1436	1935
213	1442	1927
214	1451	1924
215	1457	1915
216	1464	1909
217	1469	1901
218	1474	1892
219	1481	1885
220	1487	1877
221	1492	1869
222	1499	1862
223	1504	1854
224	1511	1847
225	1517	1839
226	1523	1831
227	1529	1824
228	1535	1817
229	1541	1809
230	1547	1802
231	1553	1794
232	1559	1787
233	1565	1779
234	1571	1772
235	1578	1765
236	1583	1757
237	1589	1749
238	1595	1742
239	1600	1734
240	1607	1727
241	1612	1719
242	1618	1711
243	1624	1704
244	1630	1696
245	1635	1688
246	1642	1682
247	1647	1674
248	1653	1667
249	1659	1659
250	1665	1651
251	1671	1644
252	1676	1637
253	1682	1629
254	1689	1623
255	1694	1615
256	1700	1607
257	1707	1601
258	1712	1593
259	1718	1586
260	1725	1579
261	1730	1572
262	1736	1565
263	1742	1557
264	1747	1549
265	1754	1543
266	1759	1535
267	1765	1528
268	1771	1521
269	1777	1513
270	1783	1506
271	1789	1499
272	1794	1491
273	1800	1485
274	1806	1477
275	1811	1470
276	1817	1463
277	1822	1455
278	1828	1448
279	1834	1441
280	1840	1434
281	1846	1427
282	1852	1420
283	1857	1412
284	1863	1405
285	1868	1398
286	1874	1390
287	1879	1383
288	1885	1376
289	1890	1368
290	1896	1361
291	1901	1354
292	1906	1347
293	1912	1340
294	1918	1333
295	1924	1326
296	1929	1318
297	1934	1311
298	1939	1304
299	1945	1297
300	1951	1289
301	1956	1282
302	1963	1276
303	1969	1269
304	1974	1262
305	1980	1255
306	1985	1248
307	1991	1241
308	1996	1234
309	2002	1227
310	2008	1220
311	2014	1213
312	2019	1206
313	2026	1200
314	2032	1193
315	2038	1187
316	2045	1180
317	2050	1173
318	2058	1167
319	2064	1161
320	2070	1154
321	2077	1148
322	2082	1141
323	2090	1135
324	2095	1128
325	2101	1121
326	2108	1115
327	2114	1108
328	2119	1101
329	2126	1095
330	2132	1088
331	2138	1082
332	2144	1075
333	2150	1068
334	2156	1062
335	2162	1055
336	2168	1048
337	2174	1042
338	2180	1035
339	2187	1029
340	2192	1022
341	2198	1015
342	2205	1009
343	2210	1002
344	2216	995
345	2222	989
346	2227	982
347	2233	975
348	2238	968
349	2244	961
350	2251	955
351	2256	948
352	2262	941
353	2268	935
354	2274	929
355	2280	922
356	2286	915
357	2291	908
358	2297	902
359	2303	895
360	2308	888
361	2315	882
362	2321	876
363	2326	869
364	2333	862
365	2338	856
366	2344	849
367	2350	843
368	2357	836
369	2364	830
370	2370	824
371	2375	817
372	2382	811
373	2387	804
374	2393	797
375	2399	791
376	2404	784
377	2410	778
378	2417	771
379	2422	765
380	2429	758
381	2435	752
382	2440	745
383	2446	739
384	2452	732
385	2457	725
386	2463	719
387	2469	712
388	2475	706
389	2481	699
390	2486	693
391	2493	686
392	2499	680
393	2504	673
394	2511	667
395	2517	661
396	2525	655
397	2531	648
398	2537	642
399	2544	636
400	2550	629
401	2559	623
402	2564	617
403	2571	611
404	2577	604
405	2583	598
406	2591	592
407	2596	585
408	2602	579
409	2609	572
410	2614	566
411	2621	559
412	2627	553
413	2632	546
414	2639	540
415	2644	534
416	2650	527
417	2657	521
418	2662	514
419	2668	508
420	2674	501
421	2680	495
422	2687	489
423	2692	482
424	2698	476
425	2704	469
426	2710	463
427	2715	456
428	2721	450
429	2727	444
430	2733	437
431	2738	431
432	2743	424
433	2752	418
434	2758	412
435	2764	405
436	2770	399
437	2775	392
438	2781	386
439	2787	380
440	2792	373
441	2798	367
442	2804	360
443	2809	354
444	2814	347
445	2820	341
446	2825	335
447	2831	328
448	2836	322
449	2842	315
450	2848	309
451	2853	303
452	2858	296
453	2864	290
454	2870	283
455	2875	277
456	2881	271
457	2886	264
458	2891	258
459	2897	251
460	2903	245
461	2908	239
462	2914	232
463	2919	226
464	2925	220
465	2930	213
466	2936	207
467	2941	201
468	2946	194
469	2952	188
470	2957	182
471	2962	175
472	2968	169
473	2973	163
474	2979	156
475	2984	150
476	2990	144
477	2995	137
478	3000	131
479	3006	125
480	3011	118
481	3017	112
482	3023	106
483	3029	100
484	3034	93
485	3039	87
486	3045	81
487	3050	75
488	3056	68
489	3061	62
490	3067	56
491	3072	49
492	3077	43
493	3083	37
494	3088	31
495	3094	24
496	3099	18
497	3104	12
498	3110	6
499	3115	0
