iter	MultiClass
0	1.05989262
1	1.028047836
2	1.003249047
3	0.9815329074
4	0.9610958318
5	0.9447519478
6	0.9300617525
7	0.9157153635
8	0.9041356918
9	0.8935667321
10	0.8842932066
11	0.875179443
12	0.8661802297
13	0.8578137766
14	0.8510101363
15	0.8447870411
16	0.8372785936
17	0.8315306595
18	0.8252745296
19	0.8193981916
20	0.8162134297
21	0.8120590773
22	0.8089003067
23	0.8055403165
24	0.801614573
25	0.7976075247
26	0.7930434179
27	0.7904762784
28	0.7874589108
29	0.7850200133
30	0.7816530246
31	0.7785623446
32	0.7752997411
33	0.772642698
34	0.7702612806
35	0.7673393589
36	0.7647888652
37	0.7617219768
38	0.7587488904
39	0.7547800487
40	0.7526549552
41	0.7496855891
42	0.7463567145
43	0.7437881898
44	0.7408230961
45	0.7385243252
46	0.7351562026
47	0.7303973802
48	0.7274934538
49	0.7232085156
50	0.7214365236
51	0.7191289884
52	0.7156313342
53	0.7120076506
54	0.7088502659
55	0.7068390547
56	0.7054695298
57	0.7039102809
58	0.701467078
59	0.7000100354
60	0.6981503828
61	0.6968970511
62	0.6949080802
63	0.6922761017
64	0.6901497934
65	0.6879936345
66	0.6861775304
67	0.6823757198
68	0.6804429733
69	0.6777380714
70	0.6756442876
71	0.6743478214
72	0.6726853811
73	0.6696745745
74	0.6688267905
75	0.6657971236
76	0.6645837983
77	0.6610530234
78	0.6590240584
79	0.6557219816
80	0.6540295771
81	0.6514371976
82	0.6486803728
83	0.6462805009
84	0.6450361787
85	0.6430645579
86	0.6410264243
87	0.6397340023
88	0.637751536
89	0.6357370021
90	0.6335425659
91	0.631940079
92	0.6297672452
93	0.6270506155
94	0.625160831
95	0.6236767357
96	0.6226907374
97	0.6194125252
98	0.6165827042
99	0.6150181809
100	0.6117524306
101	0.6094449409
102	0.606746659
103	0.6042164219
104	0.6018045823
105	0.5991832114
106	0.5970843968
107	0.5956492807
108	0.5936430224
109	0.5902481751
110	0.5879468464
111	0.5858444436
112	0.5839362004
113	0.5812158758
114	0.5793487167
115	0.5755867161
116	0.5727904855
117	0.5712846329
118	0.5697189112
119	0.5672067349
120	0.5650994515
121	0.5634651798
122	0.5614032804
123	0.558846635
124	0.557313083
125	0.55467972
126	0.5525562973
127	0.5496781804
128	0.5474476078
129	0.5455726733
130	0.5429264003
131	0.5409827794
132	0.5393167767
133	0.5376091128
134	0.5353165199
135	0.5327205906
136	0.5309034205
137	0.5288398358
138	0.526387383
139	0.5255336108
140	0.5236277715
141	0.5226643657
142	0.5199354806
143	0.518270896
144	0.516700725
145	0.5156209018
146	0.5146423743
147	0.5117148693
148	0.5098897603
149	0.5084207557
150	0.5073030356
151	0.5056121788
152	0.503987369
153	0.502945148
154	0.5014160507
155	0.4999556404
156	0.4988549568
157	0.4979667425
158	0.4963571189
159	0.4947253316
160	0.4922695136
161	0.4900521006
162	0.4887960416
163	0.4870954518
164	0.4848857102
165	0.4833075642
166	0.4824078989
167	0.4814545229
168	0.4797680691
169	0.4780058116
170	0.4773605728
171	0.4751928511
172	0.473167612
173	0.4716138493
174	0.470719038
175	0.4694380983
176	0.4671016944
177	0.4654906896
178	0.4640943825
179	0.4628334283
180	0.4620594958
181	0.4613285555
182	0.4604529061
183	0.459615937
184	0.457677825
185	0.4559245625
186	0.4546651822
187	0.4535375446
188	0.4521621529
189	0.4502216505
190	0.4487194202
191	0.4471888466
192	0.4461993336
193	0.4450234419
194	0.4440707698
195	0.442694965
196	0.4413490465
197	0.4405290235
198	0.4393205358
199	0.4380054475
200	0.4367041761
201	0.4349791374
202	0.433301824
203	0.4316274352
204	0.4298907454
205	0.4282569022
206	0.4274064469
207	0.4255945064
208	0.4237965577
209	0.4233090096
210	0.4219175692
211	0.4207775127
212	0.4196458164
213	0.4183031363
214	0.4168733915
215	0.416218772
216	0.415260912
217	0.413527079
218	0.4116360761
219	0.4105616369
220	0.4095117086
221	0.4088636394
222	0.4077635376
223	0.4064582957
224	0.4053812253
225	0.4038044255
226	0.4025569628
227	0.4015232221
228	0.4000686014
229	0.3983416606
230	0.3971782287
231	0.3953376111
232	0.3935022664
233	0.3923368611
234	0.3901629079
235	0.3886676765
236	0.3867936626
237	0.3861015746
238	0.3851773375
239	0.3840610894
240	0.3822477745
241	0.3804284303
242	0.3792098081
243	0.3790315168
244	0.3774926425
245	0.3760113071
246	0.3751582096
247	0.3740986906
248	0.3731642895
249	0.3722468885
250	0.3709721808
251	0.3701228353
252	0.3685399147
253	0.3676685498
254	0.3670822703
255	0.3660607573
256	0.3652725644
257	0.3648274165
258	0.363688726
259	0.3629767058
260	0.3624431537
261	0.3620801913
262	0.360595897
263	0.3591672843
264	0.3586623003
265	0.3575609099
266	0.3566266364
267	0.3550739929
268	0.3540689092
269	0.3533751796
270	0.3521482457
271	0.3512412937
272	0.3498624387
273	0.3492031379
274	0.3485608834
275	0.3473202336
276	0.3458114768
277	0.3450960531
278	0.3442803454
279	0.3427891412
280	0.3421126412
281	0.3411697324
282	0.3397762199
283	0.3384893277
284	0.3373204964
285	0.3364472098
286	0.3361115556
287	0.3355383242
288	0.334908182
289	0.3339469691
290	0.3328709318
291	0.331863253
292	0.3313373428
293	0.3300425267
294	0.3294197616
295	0.3278023836
296	0.326406261
297	0.3248887293
298	0.3234594644
299	0.3226839638
