iter	Passed	Remaining
0	7	2225
1	12	1933
2	21	2132
3	26	1960
4	32	1918
5	37	1844
6	42	1797
7	49	1796
8	55	1785
9	60	1747
10	67	1769
11	72	1735
12	76	1696
13	83	1708
14	89	1698
15	96	1709
16	101	1687
17	106	1674
18	113	1677
19	119	1678
20	124	1657
21	132	1675
22	137	1656
23	142	1640
24	148	1630
25	152	1611
26	158	1603
27	164	1602
28	170	1589
29	175	1580
30	180	1569
31	186	1562
32	192	1553
33	197	1543
34	202	1531
35	207	1525
36	213	1518
37	219	1514
38	228	1528
39	234	1526
40	241	1526
41	247	1519
42	252	1510
43	260	1516
44	265	1507
45	271	1497
46	276	1490
47	282	1481
48	287	1473
49	296	1480
50	301	1470
51	307	1466
52	312	1456
53	317	1445
54	323	1442
55	329	1433
56	334	1426
57	341	1423
58	346	1417
59	352	1409
60	357	1402
61	362	1392
62	367	1383
63	373	1376
64	378	1366
65	383	1358
66	389	1355
67	394	1346
68	399	1338
69	404	1330
70	410	1322
71	415	1316
72	424	1320
73	430	1314
74	436	1310
75	441	1302
76	446	1293
77	454	1293
78	459	1286
79	466	1283
80	473	1279
81	480	1276
82	486	1271
83	491	1263
84	496	1256
85	501	1248
86	507	1243
87	514	1239
88	520	1235
89	527	1231
90	535	1229
91	542	1225
92	550	1225
93	556	1218
94	562	1214
95	568	1208
96	574	1201
97	583	1202
98	588	1195
99	596	1193
100	602	1187
101	607	1179
102	614	1175
103	619	1167
104	625	1161
105	632	1157
106	637	1150
107	642	1142
108	649	1137
109	654	1131
110	664	1130
111	669	1124
112	675	1118
113	682	1113
114	687	1105
115	696	1104
116	702	1098
117	708	1092
118	713	1085
119	719	1078
120	725	1073
121	731	1067
122	737	1060
123	746	1059
124	751	1052
125	758	1047
126	764	1040
127	770	1035
128	777	1030
129	784	1026
130	790	1020
131	796	1013
132	804	1010
133	812	1005
134	816	998
135	823	993
136	828	986
137	835	980
138	840	973
139	845	966
140	854	963
141	860	957
142	866	951
143	874	947
144	879	940
145	887	936
146	892	928
147	897	921
148	906	919
149	911	911
150	919	907
151	925	900
152	930	894
153	938	889
154	943	882
155	950	877
156	956	871
157	961	864
158	970	860
159	975	853
160	983	848
161	988	842
162	994	835
163	1001	830
164	1006	823
165	1012	817
166	1020	812
167	1025	805
168	1036	803
169	1043	797
170	1051	793
171	1059	788
172	1067	783
173	1072	776
174	1080	772
175	1085	764
176	1094	760
177	1099	753
178	1104	746
179	1112	741
180	1118	735
181	1128	731
182	1133	724
183	1140	719
184	1145	712
185	1151	705
186	1160	700
187	1164	693
188	1171	688
189	1176	681
190	1181	674
191	1188	668
192	1195	662
193	1200	656
194	1210	651
195	1215	644
196	1222	639
197	1227	632
198	1233	626
199	1242	621
200	1247	614
201	1254	608
202	1260	602
203	1265	595
204	1273	590
205	1279	584
206	1288	579
207	1294	572
208	1304	567
209	1309	561
210	1315	554
211	1322	549
212	1327	542
213	1333	535
214	1339	529
215	1344	523
216	1353	517
217	1358	510
218	1363	504
219	1370	498
220	1376	491
221	1384	486
222	1392	480
223	1400	475
224	1406	468
225	1411	462
226	1419	456
227	1424	449
228	1436	445
229	1444	439
230	1451	433
231	1456	426
232	1465	421
233	1471	415
234	1480	409
235	1485	402
236	1491	396
237	1500	390
238	1505	384
239	1516	379
240	1522	372
241	1531	367
242	1537	360
243	1547	355
244	1552	348
245	1558	342
246	1564	335
247	1569	329
248	1576	322
249	1582	316
250	1588	310
251	1594	303
252	1599	297
253	1604	290
254	1612	284
255	1617	278
256	1622	271
257	1631	265
258	1636	259
259	1645	253
260	1650	246
261	1659	240
262	1665	234
263	1671	227
264	1678	221
265	1683	215
266	1690	208
267	1695	202
268	1701	196
269	1709	189
270	1714	183
271	1719	177
272	1725	170
273	1731	164
274	1738	158
275	1743	151
276	1749	145
277	1763	139
278	1771	133
279	1776	126
280	1781	120
281	1790	114
282	1795	107
283	1802	101
284	1808	95
285	1813	88
286	1822	82
287	1827	76
288	1832	69
289	1839	63
290	1843	57
291	1851	50
292	1856	44
293	1861	37
294	1868	31
295	1873	25
296	1878	18
297	1887	12
298	1892	6
299	1899	0
